	nsight-systems-2023.2.3
6	default-jre
7	cuda-command-line-tools-12-2
7	cuda-compiler-12-2
7	cuda-libraries-12-2
7	cuda-libraries-dev-12-2
7	cuda-tools-12-2
10	cuda-visual-tools-12-2
10	default-libmysqlclient-dev
10	libboost-all-dev
10	libboost-atomic-dev
10	libboost-chrono-dev
10	libboost-container-dev
10	libboost-context-dev
10	libboost-coroutine-dev
10	libboost-date-time-dev
10	libboost-dev
10	libboost-exception-dev
10	libboost-fiber-dev
10	libboost-filesystem-dev
10	libboost-graph-dev
10	libboost-graph-parallel-dev
10	libboost-iostreams-dev
10	libboost-locale-dev
10	libboost-log-dev
10	libboost-math-dev
10	libboost-mpi-dev
10	libboost-mpi-python-dev
10	libboost-numpy-dev
10	libboost-program-options-dev
10	libboost-python-dev
10	libboost-random-dev
10	libboost-regex-dev
10	libboost-serialization-dev
10	libboost-stacktrace-dev
10	libboost-system-dev
10	libboost-test-dev
10	libboost-thread-dev
10	libboost-timer-dev
10	libboost-tools-dev
10	libboost-type-erasure-dev
10	libboost-wave-dev
10	mpi-default-bin
10	python-is-python3
11	python3-dev
11	x11proto-core-dev
11	x11proto-input-dev
11	x11proto-randr-dev
11	x11proto-scrnsaver-dev
11	x11proto-xext-dev
11	x11proto-xinerama-dev
12	cuda-toolkit-12-2
13	mpi-default-dev
13	ros-noetic-common-tutorials
13	ros-noetic-desktop-full
13	ros-noetic-laser-pipeline
13	ros-noetic-perception
13	ros-noetic-ros-base
13	ros-noetic-simulators
13	ros-noetic-viz
14	cuda-nsight-systems-12-2
14	libomp-dev
14	ros-noetic-desktop
14	ros-noetic-executive-smach
14	ros-noetic-geometry-tutorials
14	ros-noetic-image-common
14	ros-noetic-image-transport-plugins
14	ros-noetic-moveit-planners
14	ros-noetic-nodelet-core
14	ros-noetic-robot
14	ros-noetic-ros-core
14	ros-noetic-ros-tutorials
14	ros-noetic-roscpp-core
14	ros-noetic-vision-opencv
14	ros-noetic-visualization-tutorials
15	google-mock
15	ros-noetic-bond-core
15	ros-noetic-common-msgs
15	ros-noetic-diagnostics
15	ros-noetic-geometry
15	ros-noetic-image-pipeline
15	ros-noetic-moveit-plugins
15	ros-noetic-perception-pcl
15	ros-noetic-ros
15	ros-noetic-rqt-robot-plugins
16	g++
16	libignition-tools-dev
16	ros-noetic-gazebo-ros-pkgs
16	ros-noetic-moveit-ros
16	ros-noetic-rqt-common-plugins
17	ros-noetic-ros-comm
18	cuda-nsight-compute-12-2
18	distro-info-data
18	libnvidia-compute-435
18	libpthread-stubs0-dev
18	python3-rospkg
19	libnet-smtp-ssl-perl
20	default-jre-headless
20	dns-root-data
21	build-essential
21	python3-rosdep
21	rubygems-integration
22	gir1.2-notify-0.7
22	libopengl-dev
22	libxshmfence1
22	ocl-icd-opencl-dev
22	ros-noetic-moveit
22	tcl
22	tk
23	libignition-common3-dev
23	python3-entrypoints
24	libaudit-common
24	liblwp-protocol-https-perl
24	python3-rosdistro
25	gir1.2-gdesktopenums-3.0
25	libignition-transport8-dev
25	tk-dev
26	libjpeg-dev
26	libjpeg8
26	libjpeg8-dev
26	python3-catkin-pkg
27	perl-openssl-defaults
27	ros-noetic-media-export
28	libsz2
28	ros-noetic-gl-dependency
28	ros-noetic-message-generation
28	ros-noetic-message-runtime
28	ros-noetic-qwt-dependency
29	blt
29	libhttp-date-perl
29	libmbim-proxy
29	libxdamage-dev
29	ros-noetic-rosbag-migration-rule
29	ros-noetic-webkit-dependency
30	gkbd-capplet
30	ros-noetic-roslang
31	libhtml-tagset-perl
31	libqmi-proxy
31	libxdamage1
32	gir1.2-peas-1.0
32	libconsole-bridge0.4
32	libencode-locale-perl
32	liburdfdom-dev
32	libxcomposite1
32	libxss1
32	python3-distro-info
32	ros-noetic-gazebo-dev
33	gir1.2-gnomebluetooth-1.0
33	gir1.2-upowerglib-1.0
33	gstreamer1.0-clutter-3.0
33	libcharls-dev
33	libdart-external-ikfast-dev
33	libpcre2-posix2
33	libxinerama1
33	python3-rfc3339
33	python3-roman
34	libhttp-negotiate-perl
34	libwayland-egl1
34	mysql-common
34	python3-cycler
34	python3-requests-unixsocket
34	ros-noetic-urdf-parser-plugin
35	libharfbuzz-icu0
35	libwww-robotrules-perl
35	libxau6
35	python3-trie
36	gir1.2-accountsservice-1.0
36	libconsole-bridge-dev
36	libnpth0
36	libsctp1
36	libsemanage-common
36	libxcb-present0
36	libxcb-shm0
36	libxv1
36	wireless-regdb
37	java-common
37	libwebpdemux2
37	libxcb-shape0
37	libxcb-xinerama0
37	ruby
38	gir1.2-gweather-3.0
38	libgsound0
38	libpython3-stdlib
39	libasyncns0
39	libfile-basedir-perl
39	libxxf86vm1
39	ros-noetic-eigen-stl-containers
40	gir1.2-json-1.0
40	libamtk-5-common
40	libbs2b0
40	libcanberra-gtk3-0
40	libgdbm-compat4
40	libjson-glib-1.0-common
40	python3-constantly
41	gir1.2-nma-1.0
41	libhdf5-mpi-dev
41	libndp0
41	libxmuu1
41	python3-doc
41	ros-noetic-rviz-python-tutorial
41	tcl-dev
42	ca-certificates-java
42	libccd-dev
42	libmnl0
42	libsensors-config
42	libxcb-dri3-0
42	libxcb-keysyms1
42	libxcb-res0
42	libxinerama-dev
43	gir1.2-geoclue-2.0
43	gir1.2-secret-1
43	libsigsegv2
43	libxdmcp6
43	libxxf86dga1
43	netbase
43	python3-decorator
43	ros-noetic-forward-command-controller
44	libatk1.0-data
44	libgdata-common
44	libgtop2-common
44	libsecret-common
44	libva-drm2
44	libxtst6
44	python3-u-msgpack
44	ros-noetic-ros-environment
45	libatomic1
45	libcap-ng0
45	libdart-collision-ode-dev
45	libdrm-common
45	libevent-pthreads-2.1-7
45	libpoppler-dev
45	libteamdctl0
45	ros-noetic-rqt-action
45	tk8.6
46	gir1.2-gdkpixbuf-2.0
46	libdaemon0
46	libxcb-dri2-0
46	ros-noetic-mk
46	ubuntu-keyring
47	gir1.2-polkit-1.0
47	gir1.2-rsvg-2.0
47	libdart-utils-urdf-dev
47	libkeyutils1
47	libqt5x11extras5
47	libspnav0
47	libtry-tiny-perl
47	libxfixes3
47	ros-noetic-rqt-srv
48	libclutter-1.0-common
48	libfile-desktopentry-perl
48	libgspell-1-common
48	libnfnetlink0
48	libpwquality1
48	libpython3-dev
48	libtext-iconv-perl
48	session-migration
48	ttf-dejavu-core
48	whoopsie-preferences
49	libcanberra-pulse
49	libsoup-gnome2.4-1
49	libtiffxx5
49	libwhoopsie0
49	libxcomposite-dev
49	tcl8.6
49	xserver-xorg-video-ati
50	gcc
50	gnupg2
50	libfontenc1
50	libhttp-cookies-perl
50	libignition-common3-events-dev
50	libtag1v5
50	libxcb-shm0-dev
50	python3-defer
50	ruby-power-assert
50	xserver-xorg-input-all
50	xserver-xorg-video-all
50	xserver-xorg-video-fbdev
51	glib-networking-services
51	libdart-collision-bullet-dev
51	libignition-common3-av-dev
51	libxcb-image0
51	libxcb-render-util0
51	python3-twisted-bin
52	gir1.2-graphene-1.0
52	glib-networking-common
52	libgdk-pixbuf2.0-common
52	libignition-common3-graphics-dev
52	libxss-dev
52	python3-ibus-1.0
52	ros-noetic-kdl-conversions
52	ros-noetic-rqt-gui-py
53	libaec0
53	liburdfdom-sensor
53	python3-gi-cairo
53	python3-secretstorage
53	python3-service-identity
54	hostname
54	libcanberra-gtk3-module
54	liblocale-gettext-perl
54	libmpx2
54	libpam-fprintd
54	ros-noetic-tf2-eigen
54	xserver-xorg-video-vesa
55	libcdio-paranoia2
55	libfile-listing-perl
55	libmtdev1
55	libsm6
55	libxau-dev
55	python3-blinker
56	libargon2-1
56	libcdio-cdda2
56	libsnappy1v5
56	libva-x11-2
56	libxcb-util1
56	python3-webencodings
56	ros-noetic-rgbd-launch
57	libattr1
57	libcap2
57	libhttp-daemon-perl
57	libnl-genl-3-200
57	liburdfdom-model-state
57	libxcb-icccm4
57	odbcinst
57	python3-markupsafe
57	ruby-net-telnet
58	libwayland-cursor0
58	libxkbcommon-x11-0
58	lsb-base
58	python3-six
58	ros-noetic-joint-state-publisher-gui
59	gir1.2-gck-1
59	libavc1394-0
59	libccd2
59	libgpm2
59	libipc-system-simple-perl
59	libminizip1
59	libnet-http-perl
59	libxcb-sync1
59	node-html5shiv
59	python3-appdirs
59	ros-noetic-rosclean
59	ros-noetic-rosconsole-bridge
60	gir1.2-vte-2.91
60	libgoa-1.0-common
60	libshine3
60	libsratom-0-0
60	libwhoopsie-preferences0
60	libxcb-xfixes0
60	libxcb-xv0
60	libxrender1
61	apport-symptoms
61	gir1.2-gnomedesktop-3.0
61	libpciaccess0
61	libtar0
61	libtie-ixhash-perl
61	liburdfdom-tools
61	libxfixes-dev
62	emacsen-common
62	libaec-dev
62	libdatrie1
62	libhtml-form-perl
62	libwebpmux3
62	ros-noetic-joint-state-publisher
62	sensible-utils
63	librsvg2-common
63	libstartup-notification0
63	libvorbisfile3
64	cpp
64	enchant-2
64	libsord-0-0
64	libxnvctrl0
64	ros-noetic-eigen-conversions
64	ros-noetic-roscpp-traits
65	libevent-openssl-2.1-7
65	libffi7
65	libglvnd-dev
65	libgudev-1.0-0
65	libmaxminddb0
65	libnotify4
65	libusbmuxd6
65	ros-noetic-diagnostic-analysis
66	libsasl2-modules-db
66	lsb-release
66	ros-noetic-pcl-conversions
66	ros-noetic-rqt-web
67	ignition-tools
67	libatk-wrapper-java
67	libfreetype6-dev
67	libxcursor1
67	libxvmc1
67	ros-noetic-rqt-top
67	xdg-dbus-proxy
68	javascript-common
68	libmediaart-2.0-0
68	libpwquality-common
68	libxdmcp-dev
68	ros-noetic-rosboost-cfg
68	ros-noetic-roscreate
69	libfont-afm-perl
69	libxrandr2
69	python3-distro
69	ubuntu-session
70	cuda-toolkit-12-2-config-common
70	libacl1
70	libcogl-pango20
70	libfltk-cairo1.3
70	libgl1-mesa-dev
70	libio-html-perl
70	libogg0
70	ros-noetic-rqt-py-console
70	sgml-base
71	libdart-external-odelcpsolver-dev
71	libdart6-external-odelcpsolver
71	liberror-perl
71	libwacom2
71	ros-noetic-controller-interface
71	ros-noetic-tf2-kdl
72	gir1.2-atspi-2.0
72	libgif7
72	libignition-common3-profiler
72	liblwp-mediatypes-perl
72	libnuma1
72	libpcl-people1.10
72	python3-snappy
72	ros-noetic-voxel-grid
73	libhyphen0
73	ros-noetic-rqt-logger-level
74	libdebconfclient0
74	libgles1
74	libiec61883-0
74	libieee1284-3
74	libsndio7.0
74	python3-lazr.uri
74	ros-noetic-joint-limits-interface
74	ros-noetic-rqt-runtime-monitor
74	ros-noetic-smclib
74	sysvinit-utils
75	libavahi-glib1
75	libgraphite2-dev
75	ros-noetic-angles
76	cuda-toolkit-12-config-common
76	cuda-toolkit-config-common
76	libimagequant0
76	libpcsclite1
76	python3-talloc
76	ros-noetic-ros-numpy
76	ros-noetic-roscpp-serialization
76	ros-noetic-rqt-msg
76	system-config-printer-udev
77	libcdt5
77	xauth
78	libann0
78	python3-netifaces
78	ros-noetic-bondpy
78	ros-noetic-rqt-service-caller
79	gir1.2-gcr-3
79	libjansson4
79	libpolkit-agent-1-0
79	python3-gnupg
79	readline-common
79	ros-noetic-rqt-tf-tree
80	ibus-gtk
80	ibus-gtk3
80	libgsm1
80	liblbfgsb0
80	ros-noetic-qt-gui-py-common
80	ros-noetic-rqt-shell
81	libdart-utils-dev
81	ros-noetic-gencpp
81	ros-noetic-rosparam
81	ros-noetic-rqt-moveit
82	libcbor0.6
82	libdatrie-dev
82	libdrm-nouveau2
82	libgdk-pixbuf2.0-bin
82	libip4tc2
82	libip6tc2
82	libjbig0
82	libkmlregionator1
82	ros-noetic-rqt-robot-steering
82	update-inetd
83	nvidia-opencl-dev
83	python3-pymacaroons
84	libdrm-amdgpu1
84	libpipeline1
84	liburiparser-dev
84	python3-cbor
84	ros-noetic-cmake-modules
84	ros-noetic-urdf-sim-tutorial
85	dconf-cli
85	gjs
85	libpathplan4
85	libwayland-client0
85	libx11-xcb1
85	ros-noetic-python-qt-binding
85	ros-noetic-roslz4
85	switcheroo-control
86	cuda-profiler-api-12-2
86	file
86	libheimntlm0-heimdal
86	libxcb-render0
87	dconf-gsettings-backend
87	libamtk-5-0
87	libgdbm6
87	libjbig-dev
87	libpam-gnome-keyring
87	libtinyxml2-dev
87	python3-jwt
88	libclutter-gtk-1.0-0
88	libosmesa6-dev
88	libsm-dev
88	libvidstab1.1
89	libfltk-forms1.3
89	libglx-dev
89	python3-txaio
89	ros-noetic-rqt-pose-view
89	ros-noetic-tf-conversions
89	ros-noetic-tf2-geometry-msgs
90	hdf5-helpers
90	libpangoxft-1.0-0
90	libplist3
91	gir1.2-gtksource-4
91	libdapserver7v5
91	libpsl5
91	python3-aptdaemon.gtk3widgets
91	python3-bcrypt
91	ros-noetic-rqt-topic
92	gir1.2-atk-1.0
92	libjson-c4
92	libraw1394-11
92	liburdfdom-headers-dev
92	libxi6
93	libappindicator3-1
93	libgusb2
93	libsbc1
93	logsave
93	ros-noetic-nodelet-topic-tools
94	libdata-dump-perl
94	libfreexl1
94	libhwloc-plugins
94	python3-pydot
94	ros-noetic-realtime-tools
94	ros-noetic-rqt-nav-view
95	libdrm-radeon1
95	python3-incremental
96	libgif-dev
96	librygel-db-2.6-2
96	libthai0
96	ros-noetic-kdl-parser
97	libbz2-dev
97	ros-noetic-rosservice
97	usb-modeswitch-data
98	libcairo-gobject2
98	libxpm4
99	libbz2-1.0
99	libgl2ps1.4
99	libspeexdsp1
99	ros-noetic-rosmsg
99	ros-noetic-rosnode
100	libsensors5
100	pinentry-curses
101	gir1.2-gdm-1.0
101	libcom-err2
101	libxrender-dev
101	xorg-sgml-doctools
102	libldap-common
102	protobuf-compiler
102	python3-wheel
104	libcogl-path20
104	libdart6-collision-ode
104	libfile-mimeinfo-perl
104	libglib2.0-data
104	libgnomekbd-common
104	qtattributionsscanner-qt5
104	ruby-xmlrpc
105	libassuan0
105	libtalloc2
105	libtinyxml2.6.2v5
106	libchromaprint1
106	libdouble-conversion3
106	libgles2
106	libvdpau1
106	libxcb-randr0
106	ros-noetic-cpp-common
106	ros-noetic-rqt-controller-manager
107	bubblewrap
107	cuda-opencl-12-2
107	ippusbxd
107	libdconf1
107	libwayland-server0
108	libcheese-gtk25
108	libegl1
108	libpeas-common
108	ros-noetic-rqt-publisher
109	binutils
109	liblmdb0
109	libogdi-dev
109	libss2
109	libwrap0
109	libxtables12
109	pinentry-gnome3
110	libavahi-common3
110	libmpc3
110	libxext6
111	gir1.2-freedesktop
111	ros-noetic-gennodejs
112	gnome-session-common
112	libavahi-common-data
112	libcolord-gtk1
112	libgssdp-1.2-0
112	libminizip-dev
112	tree
113	libgnome-autoar-0-0
113	libignition-common3-av
113	libsuperlu-dev
113	ros-noetic-genlisp
114	dconf-service
114	libheimbase1-heimdal
114	mime-support
114	ocl-icd-libopencl1
114	pptp-linux
115	gcc-7-base
115	libfreeimage-dev
115	libitm1
115	librest-0.7-0
115	xserver-xorg-input-libinput
116	libfreexl-dev
116	libkmlxsd1
116	libpangocairo-1.0-0
116	ros-noetic-rqt-bag-plugins
116	ros-noetic-rqt-dep
117	gcc-8-base
117	libcap2-bin
117	libegl-dev
117	libgtop-2.0-11
117	libmysofa1
117	libpci3
117	python3-tz
117	ros-noetic-pluginlib
118	libtinyxml2-6a
118	libxft2
118	xml-core
119	ros-noetic-tf2-py
120	libdbusmenu-gtk3-4
120	libepsilon1
120	libgcc-s1
120	libice6
120	libpopt0
120	libvte-2.91-common
120	python3-minimal
120	ros-noetic-qt-dotgraph
121	gir1.2-packagekitglib-1.0
121	language-selector-gnome
121	libcanberra0
121	libcheese8
121	libfltk-images1.3
121	libsctp-dev
121	libzzip-0-13
122	libinput-bin
122	libtevent0
122	ros-noetic-geneus
122	usbmuxd
123	libtimedate-perl
123	libuuid1
124	libvtk7-qt-dev
125	gnome-keyring-pkcs11
125	libtasn1-6
125	pango1.0-tools
125	ros-noetic-librviz-tutorial
125	ros-noetic-rqt-launch
126	libhtml-format-perl
127	dbus-user-session
127	libxml-xpathengine-perl
127	libxmu6
127	python3-sip-dev
128	libdrm2
128	libnvtoolsext1
128	libprocps8
128	qtchooser
129	libgeoclue-2-0
129	libxcursor-dev
130	libavahi-client3
130	libcdparanoia0
130	libctf0
130	liblilv-0-0
130	libtar-dev
130	python3-httplib2
130	python3-software-properties
130	python3-ubjson
131	libpulse-mainloop-glib0
131	libxrandr-dev
131	libzip5
132	libharfbuzz-gobject0
132	libpcl-outofcore1.10
132	python3-rospkg-modules
133	gir1.2-harfbuzz-0.0
133	init-system-helpers
133	libid3tag0
134	apg
134	libio-stringy-perl
134	libspeex1
136	gir1.2-pango-1.0
136	libevdev2
136	libusb-1.0-0
136	python3-rosinstall
137	gir1.2-soup-2.4
137	libopencv-highgui4.2
